Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX
X20130911,C02,M,210,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,221,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,241,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,209,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,58,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,96,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,145,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,172,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,204,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,214,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,216,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,226,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,223,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,228,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,N,227,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,58,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,90,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,133,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,156,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,152,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,156,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,143,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,102,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,98,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,78,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,O,64,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,30,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,53,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,71,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,74,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,70,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,69,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,56,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,45,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,43,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,43,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,P,37,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,28,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,54,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
