Well,Colony,CellCount,Expt,Time_Day,Condition,Cell.line,Paired,,,,,,,
G03,C,30,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G03,C,24,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G03,C,21,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H02,A,58,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H02,A,71,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H02,A,77,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H02,A,72,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H02,A,65,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H02,A,56,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H02,A,38,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H02,A,34,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H02,A,14,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H02,A,16,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H02,A,13,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G03,D,69,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G03,D,125,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G03,D,134,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G03,D,150,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G03,D,199,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G03,D,231,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G03,D,257,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G03,D,250,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G03,D,250,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G03,D,241,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G03,D,251,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H10,B,85,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H10,B,104,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H10,B,92,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H10,B,73,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H10,B,71,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H10,B,49,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H10,B,38,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H10,B,34,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H10,B,17,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H10,B,16,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H10,B,20,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G02,C,82,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G02,C,135,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G02,C,147,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G02,C,130,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G02,C,108,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G02,C,96,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G02,C,92,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G02,C,99,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G02,C,85,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G02,C,85,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G02,C,81,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G07,A,87,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G07,A,146,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G07,A,167,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G07,A,173,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G07,A,170,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G07,A,169,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G07,A,162,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G07,A,131,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G07,A,126,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G07,A,105,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G07,A,86,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G07,C,89,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G07,C,144,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G07,C,171,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G07,C,178,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G07,C,190,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G07,C,181,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G07,C,173,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G07,C,145,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G07,C,130,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G07,C,104,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G07,C,90,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G10,C,89,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G10,C,118,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G10,C,168,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G10,C,60,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G10,C,82,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G10,C,43,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G10,C,41,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G10,C,31,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G10,C,26,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G10,C,12,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G10,C,3,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H08,A,97,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H08,A,125,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H08,A,139,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H08,A,115,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H08,A,165,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H08,A,152,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H08,A,143,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H08,A,120,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H08,A,103,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H08,A,93,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H08,A,83,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G01,A,104,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G01,A,149,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G01,A,156,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G01,A,141,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G01,A,114,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G01,A,94,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G01,A,86,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G01,A,84,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G01,A,59,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G01,A,55,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G01,A,45,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G10,A,109,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G10,A,162,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G10,A,173,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G10,A,150,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G10,A,114,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G10,A,92,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G10,A,89,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G10,A,76,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G10,A,49,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G10,A,51,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G10,A,37,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G09,A,109,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G09,A,120,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G09,A,193,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G09,A,200,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G09,A,438,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G09,A,296,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G09,A,381,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G09,A,453,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G09,A,432,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G09,A,543,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G09,A,587,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G03,A,115,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G03,A,155,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G03,A,81,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G03,A,150,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G03,A,95,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G03,A,71,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G03,A,73,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G03,A,53,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G03,A,10,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G03,A,14,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G03,A,8,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G10,B,118,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G10,B,163,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G10,B,194,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
