DS1,DS2,DS3,DS4,DS5,DS6,DS7,BR1
1397.492537,1592.722918,1936.095206,1158.581668,1502.156981,1880.654198,2090.503478,1200.225352
2119.892985,2580.415899,1639.603097,1614.431843,1432.071656,1331.419328,1856.859867,1381.62777
1354.949661,1742.870626,1599.23875,1019.29976,1006.30351,1512.042508,2046.621385,969.78159
2168.583813,2635.004338,1269.990119,1185.739852,1011.861439,1514.466332,1335.009967,1114.109181
1410.278409,2001.321672,1734.997508,2041.173373,954.7327935,1457.813937,1430.549276,1751.30012
1732.574787,1906.082413,1544.059934,1619.122951,1404.871066,1477.571281,1753.768252,1245.635765
2185.292741,2411.411946,2039.317356,1186.133455,1141.424941,2212.378234,1199.325418,2232.845333
1698.778455,1173.280488,2898.566842,1059.589484,2139.161453,2246.450153,1983.44625,1395.049797
1624.96176,1470.716935,1867.039162,1550.085992,2080.131595,1989.56305,1481.988629,1794.23568
1790.777778,1550.793727,2226.956522,1456.571143,1262.22775,1498.619955,2164.283705,1417.784137
1444.505775,2122.301314,1886.817084,1767.741273,1021.994437,2237.953082,1260.424218,1513.773963
1974.664449,1684.876555,1115.04921,1391.979424,1717.205947,1638.415525,1734.253122,1227.875111
1954.330258,1488.727891,1592.390166,1079.416082,1088.613562,1855.978166,2549.199732,1132.073105
1203.539723,1911.423419,2404.70383,1219.350137,993.1308068,1533.247984,1057.37234,1665.257485
1691.572041,1660.621716,1901.734595,1565.346608,1065.922089,2185.961074,2434.630124,1507.769264
1980.691621,2185.21889,1638.299744,2282.269133,1303.212158,1523.831418,1414.393022,1412.534294
1370.849657,1648.302579,1448.455076,1462.109252,1683.187269,1210.905125,1977.379017,1709.857054
1568.816821,1703.803104,1649.293132,1686.890425,1357.629479,1902.426707,969.3665464,1685.287751
1339.898443,1514.87485,2206.182369,1311.486984,1054.747242,1586.830421,2479.259153,933.3174603
1434.158802,1580.761182,2649.66859,1542.30838,1154.462661,3013.587696,2382.453271,1089.140881
1995.402042,1976.249643,1779.728734,1907.112568,1478.449991,1933.488706,2168.43259,1556.352067
2347.785866,1678.393939,1429.917516,1316.948461,1947.387482,1776.533333,2004.356564,1597.977278
2312.256625,1697.488263,1279.382308,1711.261825,1158.099441,1823.013257,1595.064855,1633.764493
