"","Expt","Well","Colony","Cell.count","Time.day","Erl","CHX","FSK","TRM","X17A","SB","An","Cell.line","Plate","ABT","PLX"
"139","BPSKMEL","B06",7,330,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"140","BPSKMEL","B06",7,333,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"141","BPSKMEL","B06",7,337,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"142","BPSKMEL","B06",7,230,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"143","BPSKMEL","B06",7,232,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"144","BPSKMEL","B06",7,226,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"145","BPSKMEL","B06",7,165,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"146","BPSKMEL","B06",7,168,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"147","BPSKMEL","B06",7,132,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"148","BPSKMEL","B06",8,2,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"149","BPSKMEL","B06",8,5,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"150","BPSKMEL","B06",8,10,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"151","BPSKMEL","B06",8,18,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"152","BPSKMEL","B06",8,23,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"153","BPSKMEL","B06",8,43,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"154","BPSKMEL","B06",8,82,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"155","BPSKMEL","B06",8,72,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"156","BPSKMEL","B06",8,103,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"157","BPSKMEL","B06",8,103,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"158","BPSKMEL","B06",8,130,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"159","BPSKMEL","B06",8,153,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"160","BPSKMEL","B06",8,152,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"161","BPSKMEL","B06",8,178,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"162","BPSKMEL","B06",8,216,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"163","BPSKMEL","B06",8,180,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"164","BPSKMEL","B06",8,223,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"165","BPSKMEL","B06",8,258,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"166","BPSKMEL","B06",8,258,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"167","BPSKMEL","B06",8,265,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"168","BPSKMEL","B06",8,248,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"169","BPSKMEL","B07",9,2,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"170","BPSKMEL","B07",9,4,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"171","BPSKMEL","B07",9,16,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"172","BPSKMEL","B07",9,24,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"173","BPSKMEL","B07",9,59,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"174","BPSKMEL","B07",9,93,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"175","BPSKMEL","B07",9,176,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"176","BPSKMEL","B07",9,142,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"177","BPSKMEL","B07",9,181,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"178","BPSKMEL","B07",9,133,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"179","BPSKMEL","B07",9,97,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"180","BPSKMEL","B07",9,126,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"181","BPSKMEL","B07",9,125,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"182","BPSKMEL","B07",9,109,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"183","BPSKMEL","B07",9,101,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"184","BPSKMEL","B07",9,66,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"185","BPSKMEL","B07",9,69,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
