Well,Colony,CellCount,Time_Day,Erl,SB,An,Cell.line,Plate
B03,O,74,1,0,10,0,PC9.sp,SB.plate
B03,O,121,2,0,10,0,PC9.sp,SB.plate
B03,O,187,3,0,10,0,PC9.sp,SB.plate
B03,P,31,0,0,10,0,PC9.sp,SB.plate
B03,P,54,1,0,10,0,PC9.sp,SB.plate
B03,P,76,2,0,10,0,PC9.sp,SB.plate
B03,P,91,3,0,10,0,PC9.sp,SB.plate
B03,Q,25,0,0,10,0,PC9.sp,SB.plate
B03,Q,24,1,0,10,0,PC9.sp,SB.plate
B03,Q,37,2,0,10,0,PC9.sp,SB.plate
B03,Q,42,3,0,10,0,PC9.sp,SB.plate
B03,R,27,0,0,10,0,PC9.sp,SB.plate
B03,R,45,1,0,10,0,PC9.sp,SB.plate
B03,R,71,2,0,10,0,PC9.sp,SB.plate
B03,R,116,3,0,10,0,PC9.sp,SB.plate
B03,S,27,0,0,10,0,PC9.sp,SB.plate
B03,S,30,1,0,10,0,PC9.sp,SB.plate
B03,S,40,2,0,10,0,PC9.sp,SB.plate
B03,S,41,3,0,10,0,PC9.sp,SB.plate
B03,T,20,0,0,10,0,PC9.sp,SB.plate
B03,T,37,1,0,10,0,PC9.sp,SB.plate
B03,T,60,2,0,10,0,PC9.sp,SB.plate
B03,T,68,3,0,10,0,PC9.sp,SB.plate
B03,U,30,0,0,10,0,PC9.sp,SB.plate
B03,U,46,1,0,10,0,PC9.sp,SB.plate
B03,U,67,2,0,10,0,PC9.sp,SB.plate
B03,U,83,3,0,10,0,PC9.sp,SB.plate
B03,V,29,0,0,10,0,PC9.sp,SB.plate
B03,V,45,1,0,10,0,PC9.sp,SB.plate
B03,V,54,2,0,10,0,PC9.sp,SB.plate
B03,V,66,3,0,10,0,PC9.sp,SB.plate
B03,W,29,0,0,10,0,PC9.sp,SB.plate
B03,W,54,1,0,10,0,PC9.sp,SB.plate
B03,W,72,2,0,10,0,PC9.sp,SB.plate
B03,W,88,3,0,10,0,PC9.sp,SB.plate
B03,X,32,0,0,10,0,PC9.sp,SB.plate
B03,X,58,1,0,10,0,PC9.sp,SB.plate
B03,X,71,2,0,10,0,PC9.sp,SB.plate
B03,X,100,3,0,10,0,PC9.sp,SB.plate
B04,A,58,0,0,10,0,PC9.sp,SB.plate
B04,A,99,1,0,10,0,PC9.sp,SB.plate
B04,A,132,2,0,10,0,PC9.sp,SB.plate
B04,A,134,3,0,10,0,PC9.sp,SB.plate
B04,B,45,0,0,10,0,PC9.sp,SB.plate
B04,B,70,1,0,10,0,PC9.sp,SB.plate
B04,B,102,2,0,10,0,PC9.sp,SB.plate
B04,B,108,3,0,10,0,PC9.sp,SB.plate
B04,C,11,0,0,10,0,PC9.sp,SB.plate
B04,C,17,1,0,10,0,PC9.sp,SB.plate
B04,C,21,2,0,10,0,PC9.sp,SB.plate
B04,C,30,3,0,10,0,PC9.sp,SB.plate
B04,D,31,0,0,10,0,PC9.sp,SB.plate
B04,D,53,1,0,10,0,PC9.sp,SB.plate
B04,D,56,2,0,10,0,PC9.sp,SB.plate
B04,D,77,3,0,10,0,PC9.sp,SB.plate
B04,E,31,0,0,10,0,PC9.sp,SB.plate
B04,E,53,1,0,10,0,PC9.sp,SB.plate
B04,E,56,2,0,10,0,PC9.sp,SB.plate
B04,E,77,3,0,10,0,PC9.sp,SB.plate
B04,F,26,0,0,10,0,PC9.sp,SB.plate
B04,F,48,1,0,10,0,PC9.sp,SB.plate
B04,F,53,2,0,10,0,PC9.sp,SB.plate
B04,F,56,3,0,10,0,PC9.sp,SB.plate
B04,G,19,0,0,10,0,PC9.sp,SB.plate
B04,G,29,1,0,10,0,PC9.sp,SB.plate
B04,G,40,2,0,10,0,PC9.sp,SB.plate
B04,G,65,3,0,10,0,PC9.sp,SB.plate
B04,H,11,0,0,10,0,PC9.sp,SB.plate
B04,H,14,1,0,10,0,PC9.sp,SB.plate
B04,H,22,2,0,10,0,PC9.sp,SB.plate
B04,H,23,3,0,10,0,PC9.sp,SB.plate
B04,I,58,0,0,10,0,PC9.sp,SB.plate
B04,I,90,1,0,10,0,PC9.sp,SB.plate
B04,I,125,2,0,10,0,PC9.sp,SB.plate
B04,I,154,3,0,10,0,PC9.sp,SB.plate
B04,J,34,0,0,10,0,PC9.sp,SB.plate
B04,J,72,1,0,10,0,PC9.sp,SB.plate
B04,J,98,2,0,10,0,PC9.sp,SB.plate
B04,J,137,3,0,10,0,PC9.sp,SB.plate
B04,K,26,0,0,10,0,PC9.sp,SB.plate
B04,K,56,1,0,10,0,PC9.sp,SB.plate
B04,K,72,2,0,10,0,PC9.sp,SB.plate
B04,K,75,3,0,10,0,PC9.sp,SB.plate
B04,L,57,0,0,10,0,PC9.sp,SB.plate
B04,L,91,1,0,10,0,PC9.sp,SB.plate
B04,L,141,2,0,10,0,PC9.sp,SB.plate
B04,L,203,3,0,10,0,PC9.sp,SB.plate
B04,M,28,0,0,10,0,PC9.sp,SB.plate
B04,M,42,1,0,10,0,PC9.sp,SB.plate
B04,M,63,2,0,10,0,PC9.sp,SB.plate
B04,M,80,3,0,10,0,PC9.sp,SB.plate
B04,N,28,0,0,10,0,PC9.sp,SB.plate
B04,N,44,1,0,10,0,PC9.sp,SB.plate
B04,N,52,2,0,10,0,PC9.sp,SB.plate
B04,N,46,3,0,10,0,PC9.sp,SB.plate
B04,O,44,0,0,10,0,PC9.sp,SB.plate
B04,O,82,1,0,10,0,PC9.sp,SB.plate
B04,O,116,2,0,10,0,PC9.sp,SB.plate
B04,O,147,3,0,10,0,PC9.sp,SB.plate
B07,A,28,0,3,10,0,PC9.sp,SB.plate
B07,A,40,1,3,10,0,PC9.sp,SB.plate
B07,A,61,2,3,10,0,PC9.sp,SB.plate
B07,A,92,3,3,10,0,PC9.sp,SB.plate
B07,A,136,4,3,10,0,PC9.sp,SB.plate
B07,A,200,5,3,10,0,PC9.sp,SB.plate
