Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX,Pre.well
BPSKMEL,XX,4,72,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day4
BPSKMEL,XX,4,100,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day5
BPSKMEL,XX,4,143,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day6
BPSKMEL,XX,4,140,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day7
BPSKMEL,XX,4,173,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day8
BPSKMEL,XX,4,148,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day9
BPSKMEL,XX,4,136,9.731066667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day10
BPSKMEL,XX,4,118,10.7534125,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day11
BPSKMEL,XX,4,112,10.99522083,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day12
BPSKMEL,XX,4,102,11.78024167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day13
BPSKMEL,XX,4,90,12.73057917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day14
BPSKMEL,XX,4,57,12.9729875,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day15
BPSKMEL,XX,4,71,13.70632917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day16
BPSKMEL,XX,4,47,14.875775,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day17
BPSKMEL,XX,4,41,16.12682917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day18
BPSKMEL,XX,4,39,16.7051625,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day19
BPSKMEL,XX,4,43,17.764825,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day20
BPSKMEL,XX,5,2,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day0
BPSKMEL,XX,5,9,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day1
BPSKMEL,XX,5,12,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day2
BPSKMEL,XX,5,23,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day3
BPSKMEL,XX,5,38,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day4
BPSKMEL,XX,5,65,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day5
BPSKMEL,XX,5,110,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day6
BPSKMEL,XX,5,104,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day7
BPSKMEL,XX,5,100,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day8
BPSKMEL,XX,5,122,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day9
BPSKMEL,XX,5,115,9.731066667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day10
BPSKMEL,XX,5,120,10.7534125,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day11
BPSKMEL,XX,5,91,10.99522083,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day12
BPSKMEL,XX,5,103,11.78024167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day13
BPSKMEL,XX,5,104,12.73057917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day14
BPSKMEL,XX,5,71,12.9729875,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day15
BPSKMEL,XX,5,78,13.70632917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day16
BPSKMEL,XX,5,66,14.875775,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day17
BPSKMEL,XX,5,49,16.12682917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day18
BPSKMEL,XX,5,48,16.7051625,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day19
BPSKMEL,XX,5,36,17.764825,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day20
BPSKMEL,XX,6,2,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day0
BPSKMEL,XX,6,1,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day1
BPSKMEL,XX,6,5,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day2
BPSKMEL,XX,6,9,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day3
BPSKMEL,XX,6,24,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day4
BPSKMEL,XX,6,47,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day5
BPSKMEL,XX,6,81,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day6
BPSKMEL,XX,6,81,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day7
BPSKMEL,XX,6,88,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day8
BPSKMEL,XX,6,80,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day9
BPSKMEL,XX,6,71,9.731066667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day10
BPSKMEL,XX,6,70,10.7534125,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day11
BPSKMEL,XX,6,67,10.99522083,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day12
BPSKMEL,XX,6,65,11.78024167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day13
BPSKMEL,XX,6,43,12.73057917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day14
BPSKMEL,XX,6,9,12.9729875,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day15
BPSKMEL,XX,6,11,13.70632917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day16
